timestamp,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,packet_count,duration_ms,connection_rate,label
2026-08-05 21:45:34,192.168.0.96,192.168.0.205,13773,25,TCP,3077.78,6709.92,39,826.01,3.36,normal
2026-08-05 11:15:23,192.168.5.142,192.168.1.148,36475,3389,TCP,6996.77,24058.21,28,855.61,2.33,normal
2026-08-06 18:42:35,192.168.2.25,192.168.5.28,15640,53,UDP,2238.7,12864.39,64,827.33,2.13,normal
2026-08-05 17:11:52,192.168.4.55,6.164.99.118,2940,443,TCP,4117.65,16675.43,27,771.67,0.1,normal
2026-08-07 16:50:32,192.168.3.184,160.239.155.90,56962,53,TCP,3874.44,17148.29,19,489.65,3.03,normal
2026-08-07 13:58:01,192.168.1.83,192.168.4.27,53552,53,TCP,2829.3,15250.21,42,743.79,1.98,normal
2026-08-10 11:09:32,192.168.1.213,192.168.4.158,46221,53,UDP,642.65,2275.8,30,983.07,0.1,normal
2026-08-09 08:31:14,192.168.1.233,79.194.114.90,23517,5432,TCP,5507.25,16467.66,59,822.75,2.0,normal
2026-08-04 11:48:02,192.168.0.166,192.168.5.236,11878,3389,TCP,4499.38,9245.73,29,785.25,1.98,normal
2026-08-07 00:46:02,192.168.2.153,192.168.1.228,20805,80,TCP,3007.03,17555.32,40,543.41,2.49,normal
2026-08-10 12:43:38,192.168.1.221,197.126.111.177,31250,80,TCP,3695.61,14671.52,33,836.02,1.96,normal
2026-08-07 12:48:44,192.168.0.253,192.168.3.98,61228,3389,TCP,7287.96,11931.16,55,880.47,2.24,normal
2026-08-08 18:53:34,192.168.2.197,192.168.0.102,3565,22,UDP,3497.32,19287.92,34,941.32,1.48,normal
2026-08-04 18:43:34,192.168.5.239,192.168.3.2,12644,22,TCP,5484.41,13168.57,37,719.17,2.35,normal
2026-08-10 13:57:27,192.168.1.234,192.168.0.86,11001,25,TCP,4581.74,23264.2,45,1485.41,0.38,normal
2026-08-10 12:02:03,192.168.5.184,217.167.228.237,7134,21,TCP,1409.11,23104.62,54,652.31,2.35,normal
2026-08-10 11:22:10,192.168.4.200,62.34.50.210,38912,80,TCP,3197.0,17150.72,29,1103.17,2.69,normal
2026-08-07 15:17:55,192.168.3.65,220.247.35.243,38056,21,TCP,577117.54,2244.51,391,75134.4,0.59,data_exfiltration
2026-08-10 13:36:38,192.168.2.205,144.83.254.90,38861,25,TCP,3888.85,12835.68,21,852.66,2.04,normal
2026-08-07 13:50:17,192.168.5.111,146.102.186.42,61972,3306,TCP,3849.63,31942.38,33,925.5,1.95,normal
2026-08-09 02:50:11,192.168.5.136,88.53.113.25,17285,443,TCP,670645.61,1531.05,340,90824.63,0.72,data_exfiltration
2026-08-08 11:04:35,192.168.3.134,192.168.0.208,62661,5432,UDP,3880.94,16286.78,38,1294.95,1.74,normal
2026-08-07 20:24:00,192.168.1.225,192.168.3.73,2459,3389,TCP,2877.76,14238.42,45,10.0,2.02,normal
2026-08-08 08:55:48,113.159.106.93,192.168.1.194,2644,22,TCP,179.72,171.56,4,24.05,44.06,brute_force
2026-08-05 16:10:24,192.168.5.105,16.9.3.154,62958,8080,TCP,4944.47,7978.88,42,529.07,3.01,normal
2026-08-09 02:16:01,192.168.2.68,40.121.66.187,49574,8080,TCP,510216.72,2848.9,416,55553.24,1.42,data_exfiltration
2026-08-08 08:24:38,192.168.1.17,210.224.97.1,25132,5432,ICMP,4308.23,15685.85,40,364.26,3.11,normal
2026-08-08 10:19:25,192.168.0.183,192.175.177.155,21767,25,ICMP,3441.25,17133.34,41,149.06,2.99,normal
2026-08-06 14:51:03,192.168.3.206,23.21.199.181,53887,80,UDP,6160.76,17139.4,41,766.96,1.87,normal
2026-08-07 18:53:51,200.64.16.97,192.168.5.122,53566,44852,TCP,80.1,33.6,4,16.23,81.32,port_scan
2026-08-05 06:46:01,192.168.4.130,192.168.2.183,43657,80,TCP,2570.01,15736.02,64,929.23,1.75,normal
2026-08-04 01:18:14,192.168.1.109,149.190.226.153,25882,8080,TCP,4559.19,16006.09,46,392.46,2.36,normal
2026-08-05 15:17:55,192.168.3.83,192.168.2.160,30200,8080,TCP,920.27,19017.53,20,638.03,2.52,normal
2026-08-06 01:07:10,192.168.2.57,192.168.1.111,48790,5432,TCP,3232.31,11488.36,25,642.1,1.14,normal
2026-08-06 14:28:58,192.168.0.47,192.168.2.69,16381,5432,TCP,3842.98,25575.21,33,108.08,3.9,normal
2026-08-10 14:30:16,192.168.5.94,192.168.5.80,21756,3306,TCP,2305.28,11888.25,47,944.34,2.52,normal
2026-08-04 16:20:48,192.168.2.148,192.168.2.177,26509,21,TCP,5207.95,6414.35,63,10.0,4.15,normal
2026-08-04 00:23:59,192.168.2.34,192.168.4.108,24971,53,TCP,2185.54,25035.43,46,518.0,1.94,normal
2026-08-06 17:43:22,192.168.0.249,131.180.227.141,29852,53,UDP,5086.0,14296.87,9,1181.44,1.41,normal
2026-08-07 10:27:33,192.168.2.173,122.234.253.111,49591,443,TCP,2813.8,17163.8,44,1465.56,3.17,normal
2026-08-04 18:16:03,192.168.5.122,19.88.164.59,53440,5432,ICMP,4178.48,14127.23,64,1140.62,2.61,normal
2026-08-11 09:38:27,192.168.2.187,112.59.197.231,38811,3306,TCP,5240.77,15078.01,61,694.14,4.72,normal
2026-08-06 10:48:19,192.168.4.167,52.54.34.62,18941,3306,TCP,4937.19,19468.77,45,683.41,2.81,normal
2026-08-04 18:51:55,192.168.1.156,211.225.130.215,29694,25,TCP,1418.38,12849.58,21,1270.61,1.42,normal
2026-08-06 03:52:11,204.145.80.178,192.168.4.254,18401,22,TCP,175.36,232.07,6,8.49,32.26,brute_force
2026-08-06 18:13:32,192.168.3.204,204.86.43.73,34804,3389,TCP,4577.98,9696.86,42,823.28,0.86,normal
2026-08-10 15:49:31,192.168.1.69,192.168.5.115,47599,25,ICMP,4569.51,17429.77,61,803.51,0.24,normal
2026-08-10 15:20:03,192.168.1.171,192.168.2.182,43429,3389,TCP,3901.71,11588.76,35,1865.85,3.87,normal
2026-08-04 18:35:12,192.168.5.206,192.168.3.79,44720,53,TCP,2776.14,8077.76,47,1054.04,2.4,normal
2026-08-04 10:06:15,192.168.1.72,192.168.0.140,21373,22,TCP,5974.52,0.0,21,433.75,1.18,normal
2026-08-07 11:13:51,192.168.1.122,160.74.195.144,38493,3389,TCP,3878.56,21062.23,45,171.09,2.1,normal
2026-08-08 17:55:19,192.168.3.141,192.168.3.120,54702,53,TCP,6214.54,7146.51,40,1133.05,1.66,normal
2026-08-09 10:47:43,192.168.0.119,103.79.143.139,3381,3389,UDP,3445.87,27386.97,49,716.08,2.7,normal
2026-08-09 00:02:08,192.168.2.207,192.168.2.20,10618,22,UDP,5929.59,13627.76,40,747.53,2.43,normal
2026-08-04 10:13:06,192.168.2.104,137.87.120.75,13019,53,TCP,2740.3,11933.37,1,1636.84,2.55,normal
2026-08-09 09:27:19,192.168.4.239,192.168.3.66,59993,3389,TCP,5342.1,12373.3,31,203.94,2.65,normal
2026-08-09 18:42:13,192.168.4.46,217.222.119.149,37128,21,TCP,3197.72,17787.01,38,1474.3,3.23,normal
2026-08-10 00:36:06,47.189.197.152,192.168.1.38,43608,3306,TCP,90.98,6.3,156,10.86,225.23,ddos
2026-08-10 17:02:06,192.168.0.21,196.213.49.218,4304,3306,TCP,5492.95,19888.38,35,819.84,2.41,normal
2026-08-05 08:25:19,192.168.3.54,137.229.7.27,62540,5432,TCP,5635.71,21269.88,25,1439.46,0.54,normal
2026-08-10 12:08:53,192.168.5.91,192.168.3.108,58933,25,TCP,2018.68,19628.41,40,182.23,2.49,normal
2026-08-04 16:21:37,192.168.3.58,100.58.89.215,19268,21,TCP,3372.6,16176.58,38,998.09,3.0,normal
2026-08-07 11:56:04,192.168.3.132,130.241.247.53,18922,80,ICMP,5649.8,19610.62,35,439.85,2.18,normal
2026-08-09 18:48:27,192.168.5.14,154.159.180.27,38898,53,TCP,4071.1,9837.52,34,1202.52,1.42,normal
2026-08-06 11:14:52,192.168.0.112,85.153.255.250,48490,25,TCP,5734.01,11349.04,24,901.49,0.21,normal
2026-08-06 11:06:40,192.168.1.66,9.66.37.74,4669,3389,TCP,4682.38,20103.57,34,842.91,2.85,normal
2026-08-08 18:10:15,192.168.3.86,2.252.95.37,35404,21,UDP,2285.81,10398.78,13,430.81,2.09,normal
2026-08-09 15:14:14,166.239.46.145,192.168.1.38,8959,3306,UDP,95.27,6.4,157,13.94,157.75,ddos
2026-08-04 13:44:03,192.168.3.166,61.92.125.36,49216,3306,TCP,6276.66,21650.98,35,1121.65,3.56,normal
2026-08-09 16:13:51,192.168.3.143,118.241.254.66,1441,8080,TCP,3841.71,13391.8,64,1015.89,3.45,normal
2026-08-07 09:43:59,192.168.3.92,69.19.221.28,42547,3389,UDP,1317.3,6570.62,57,701.29,2.16,normal
2026-08-08 17:47:17,192.168.0.236,95.127.214.181,31025,22,TCP,4042.69,2533.13,35,1457.35,2.36,normal
2026-08-10 11:37:45,192.168.4.1,192.168.1.61,8232,21,TCP,2775.97,9905.16,36,478.34,3.6,normal
2026-08-10 13:58:43,192.168.3.159,192.168.3.120,1490,443,TCP,5439.24,12809.67,17,734.19,1.14,normal
2026-08-10 08:48:44,192.168.3.239,207.28.154.136,58334,443,UDP,3922.91,18766.21,35,533.96,1.42,normal
2026-08-09 10:27:06,192.168.3.113,192.168.3.197,27958,80,TCP,2244.25,17431.21,61,1224.33,1.24,normal
2026-08-11 00:43:54,192.168.2.139,154.120.179.28,6101,53,TCP,7515.48,20224.48,54,852.28,1.86,normal
2026-08-06 10:20:03,192.168.4.75,72.94.47.221,49085,443,ICMP,3540.98,17976.97,1,891.65,0.95,normal
2026-08-10 15:39:49,192.168.5.125,133.77.215.131,57807,25,TCP,2998.25,1614.52,43,325.59,1.92,normal
2026-08-10 12:42:20,192.168.2.208,192.168.5.152,63402,22,TCP,6108.47,16204.43,8,530.58,1.14,normal
2026-08-07 13:25:54,61.249.101.235,192.168.4.186,60278,35739,TCP,59.76,49.41,1,14.36,122.48,port_scan
2026-08-09 01:22:04,192.168.3.154,21.245.66.70,48428,80,TCP,2095.0,19013.04,50,953.68,1.01,normal
2026-08-04 10:36:34,192.168.4.121,136.230.236.19,14811,80,TCP,4480.99,14637.61,48,115.52,2.2,normal
2026-08-10 10:18:00,192.168.3.80,192.168.1.87,38187,25,TCP,4518.92,14219.57,53,1132.05,2.59,normal
2026-08-07 14:15:31,192.168.0.239,44.36.190.10,37790,22,TCP,5826.87,24463.83,45,933.0,0.97,normal
2026-08-05 09:43:44,192.168.4.93,107.87.239.201,45551,3306,TCP,2726.08,23225.78,3,488.5,1.49,normal
2026-08-06 23:15:03,192.168.2.104,143.31.233.203,5418,22,TCP,1835.67,9051.35,26,957.93,1.47,normal
2026-08-05 18:37:12,192.168.2.191,192.168.3.60,38417,22,UDP,2560.4,5017.86,48,1497.6,1.0,normal
2026-08-07 13:43:48,73.3.88.179,192.168.3.11,33394,18095,TCP,44.65,10.5,1,35.02,65.05,port_scan
2026-08-05 09:23:35,192.168.4.87,166.183.76.221,57237,3306,TCP,5134.3,27116.23,34,908.07,3.11,normal
2026-08-07 04:10:07,192.168.5.172,192.168.1.89,36749,53,UDP,3631.54,25688.92,73,998.76,1.53,normal
2026-08-04 14:48:37,192.168.5.222,192.168.3.236,47840,25,TCP,4301.43,15307.85,48,10.0,2.45,normal
2026-08-10 10:31:13,210.246.173.244,192.168.5.98,55728,3306,TCP,251.0,216.14,7,18.2,54.32,brute_force
2026-08-04 08:46:41,192.168.5.227,192.168.3.248,8654,3306,TCP,3038.38,18954.33,55,1039.83,3.62,normal
2026-08-07 03:31:37,192.168.3.49,145.24.46.209,58546,80,TCP,2112.56,13694.31,27,1034.4,3.31,normal
